experiment	cal_mae_pct	protein_mae_pct	fat_mae_pct	carbs_mae_pct	avg_mae_pct	parse_failures	status	description
0	35.4	46.6	86.5	55.0	55.9	1	baseline	LLM r64 (attn+MLP) + projector r64 + all 24 vision blocks r32, alpha=rank, dropout 0.0, lr 1e-5->1e-6 cosine, 10ep, custom LoRA
1	19.7	30.3	50.0	26.1	31.5	0	kept	Exp 0 config but with gradient checkpointing disabled
2	18.5	28.6	39.1	25.1	27.8	0	kept	12 epochs to test convergence
3	23.8	32.4	45.0	33.1	33.6	0	kept	vision LoRA rank 64 (3 epoch screen)
5	25.8	41.3	53.0	36.1	39.0	0	reverted	LLM LoRA rank 32 (3 epoch screen)
6	25.8	37.6	48.8	38.2	37.6	0	reverted	dropout 0.05 (3 epoch screen)
8	24.7	34.7	47.2	33.9	35.1	0	reverted	vision LoRA rank 16 (3 epoch screen)
10	25.4	32.5	46.2	36.8	35.2	0	reverted	constant LR 1e-5 (3 epoch screen)
11	26.6	36.1	54.4	37.4	38.6	0	reverted	LLM attention-only LoRA targets (3 epoch screen)
12	19.3	26.9	37.4	25.0	27.2	0	kept	10 epochs baseline confirmation (default config)
13	22.1	30.5	50.5	28.9	33.0	0	reverted	vision block subset: top-12 blocks (10 epochs)
14	17.6	25.4	39.6	22.2	26.2	1	kept	vision LoRA rank 64 on all 24 blocks (10 epochs)
15	18.6	25.4	37.1	24.4	26.4	5	reverted	vision LoRA rank 128 on all 24 blocks (10 epochs)
16	18.0	23.5	40.4	21.9	26.0	0	kept	peak LR 2e-5 cosine to 1e-6, vision r64 (10 epochs)
